location,temperature,pH,acceptablerange,status
sample01,25.5,7.2,5-8,ok
sample02,24.5,2.5,18-25,ok
sample03,23.5,4.8,5,ok
sample04,34.5,7.3,12-15,no
sample05,22.5,6.8,15-25,ok
sample06,22.6,7.6,8-10,ok
sample07,25.6,6.7,11-20,ok
sample08,28.6,6.7,14-18,ok
sample09,29.9,7.5,19-25,ok
sample10,24.6,7.7,22-29,ok
sample11,28.9,7.8,21-25,ok
sample12,25.5,3.6,4-9,ok
sample13,24.5,2.5,7-10,no
sample14,23.5,2.8,2-9,ok
sample15,34.5,8.9,3-9,ok
sample16,22.5,8.5,2-9,ok
sample17,22.6,9.2,5-8,no
sample18,25.6,6.2,18-25,ok
sample19,28.6,5.5,5,ok
sample20,29.9,5.6,12-15,ok
sample21,24.6,5.7,15-25,ok
sample22,28.9,8.3,8-10,ok
sample23,25.5,7.2,11-20,ok
sample24,24.5,2.5,14-18,ok
sample25,23.5,4.8,19-25,ok
sample26,34.5,7.3,22-29,ok
sample27,22.5,6.8,21-25,ok
sample28,22.6,7.6,4-9,ok
sample29,25.6,6.7,7-10,no
sample30,28.6,6.7,2-9,no
sample31,29.9,7.5,3-9,ok
sample32,24.6,7.7,2-9,ok
sample33,28.9,7.8,5-8,ok
sample34,25.5,3.6,18-25,ok
sample35,24.5,2.5,5,ok
sample36,23.5,2.8,12-15,ok
sample37,34.5,8.9,15-25,ok
sample38,22.5,8.5,8-10,no
sample39,22.6,9.2,11-20,ok
sample40,25.6,6.2,14-18,ok
sample41,28.6,5.5,19-25,ok
sample42,29.9,5.6,22-29,ok
sample43,24.6,5.7,21-25,ok
sample44,28.9,8.3,4-9,ok
sample45,25.5,7.2,7-10,ok
sample46,24.5,2.5,2-9,ok
sample47,23.5,4.8,3-9,no
sample48,34.5,7.3,2-9,ok
sample49,22.5,6.8,5-8,ok
sample50,22.6,7.6,18-25,ok
sample51,25.6,6.7,5,no
sample52,28.6,6.7,12-15,ok
sample53,29.9,7.5,15-25,ok
sample54,24.6,7.7,8-10,ok
sample55,28.9,7.8,11-20,no
sample56,25.5,3.6,14-18,ok
sample57,24.5,2.5,19-25,ok
sample58,23.5,2.8,22-29,ok
sample59,34.5,8.9,21-25,ok
sample60,22.5,8.5,4-9,ok
sample61,22.6,9.2,7-10,ok
sample62,25.6,6.2,2-9,ok
sample63,28.6,5.5,3-9,ok
sample64,29.9,5.6,2-9,no
sample65,24.6,5.7,5-8,ok
sample66,28.9,8.3,18-25,ok
sample67,25.5,7.2,5,ok
sample68,24.5,2.5,12-15,no
sample69,23.5,4.8,15-25,ok
sample70,34.5,7.3,8-10,ok
sample71,22.5,6.8,11-20,ok
sample72,22.6,7.6,14-18,no
sample73,25.6,6.7,19-25,ok
sample74,28.6,6.7,22-29,ok
sample75,29.9,7.5,21-25,ok
sample76,24.6,7.7,4-9,ok
sample77,28.9,7.8,7-10,ok
sample78,25.5,3.6,2-9,ok
sample79,24.5,2.5,3-9,ok
sample80,23.5,2.8,2-9,ok
sample81,34.5,8.9,5-8,no
sample82,22.5,8.5,18-25,ok
sample83,22.6,9.2,5,ok
sample84,25.6,6.2,12-15,ok
sample85,28.6,5.5,15-25,no
sample86,29.9,5.6,8-10,ok
sample87,24.6,5.7,11-20,ok
sample88,28.9,8.3,14-18,ok
sample89,25.5,7.2,19-25,no
sample90,24.5,2.5,22-29,ok
sample91,23.5,4.8,21-25,ok
sample92,34.5,7.3,4-9,ok
sample93,22.5,6.8,7-10,ok
sample94,22.6,7.6,2-9,ok
sample95,25.6,6.7,3-9,ok
sample96,28.6,6.7,2-9,ok
sample97,29.9,7.5,5-8,ok
sample98,24.6,7.7,18-25,no
sample99,28.9,7.8,5,ok
sample100,25.5,3.6,12-15,ok
sample101,24.5,2.5,15-25,ok
sample102,23.5,2.8,8-10,no
sample103,34.5,8.9,11-20,ok
sample104,22.5,8.5,14-18,ok
sample105,22.6,9.2,19-25,ok
sample106,25.6,6.2,22-29,no
sample107,28.6,5.5,21-25,ok
sample108,29.9,5.6,4-9,ok
sample109,24.6,5.7,7-10,ok
sample110,28.9,8.3,2-9,ok
sample111,25.5,7.2,3-9,ok
sample112,24.5,2.5,2-9,ok
sample113,23.5,4.8,5-8,ok
sample114,34.5,7.3,18-25,ok
sample115,22.5,6.8,5,no
sample116,22.6,7.6,12-15,ok
sample117,25.6,6.7,15-25,ok
sample118,28.6,6.7,8-10,ok
sample119,29.9,7.5,11-20,no
sample120,24.6,7.7,14-18,ok
sample121,28.9,7.8,19-25,ok
sample122,25.5,3.6,22-29,ok
sample123,24.5,2.5,21-25,no
sample124,23.5,2.8,4-9,ok
sample125,34.5,8.9,7-10,ok
sample126,22.5,8.5,2-9,ok
sample127,22.6,9.2,3-9,ok
sample128,25.6,6.2,2-9,ok
sample129,28.6,5.5,5-8,ok
sample130,29.9,5.6,18-25,ok
sample131,24.6,5.7,5,ok
sample132,28.9,8.3,12-15,ok
sample133,25.5,7.2,15-25,okok
sample134,24.5,2.5,8-10,ok
sample135,23.5,4.8,11-20,ok
sample136,34.5,7.3,14-18,no
sample137,22.5,6.8,19-25,ok
sample138,22.6,7.6,22-29,ok
sample139,25.6,6.7,21-25,ok
sample140,28.6,6.7,4-9,ok
sample141,29.9,7.5,7-10,ok
sample142,24.6,7.7,2-9,ok
sample143,28.9,7.8,3-9,ok
sample144,25.5,3.6,2-9,ok
sample145,24.5,2.5,5-8,ok
sample146,23.5,2.8,18-25,okok
sample147,34.5,8.9,5,ok
sample148,22.5,8.5,12-15,ok
sample149,22.6,9.2,15-25,no
sample150,25.6,6.2,8-10,ok
sample151,28.6,5.5,11-20,ok
sample152,29.9,5.6,14-18,ok
sample153,24.6,5.7,19-25,ok
sample154,28.9,8.3,22-29,ok
sample155,25.5,7.2,21-25,ok
sample156,24.5,2.5,4-9,ok
sample157,23.5,4.8,7-10,ok
sample158,34.5,7.3,2-9,ok
sample159,22.5,6.8,3-9,okok
sample160,22.6,7.6,2-9,ok
sample161,25.6,6.7,5-8,ok
sample162,28.6,6.7,18-25,no
sample163,29.9,7.5,5,ok
sample164,24.6,7.7,12-15,ok
sample165,28.9,7.8,15-25,ok
sample166,25.5,3.6,8-10,ok
sample167,24.5,2.5,11-20,ok
sample168,23.5,2.8,14-18,ok
sample169,34.5,8.9,19-25,ok
sample170,22.5,8.5,22-29,ok
sample171,22.6,9.2,21-25,ok
sample172,25.6,6.2,4-9,okok
sample173,28.6,5.5,7-10,ok
sample174,29.9,5.6,2-9,ok
sample175,24.6,5.7,3-9,no
sample176,28.9,8.3,2-9,ok
sample177,25.5,7.2,5-8,ok
sample178,24.5,2.5,18-25,ok
sample179,23.5,4.8,5,ok
sample180,34.5,7.3,12-15,ok
sample181,22.5,6.8,15-25,ok
sample182,22.6,7.6,8-10,ok
sample183,25.6,6.7,11-20,ok
sample184,28.6,6.7,14-18,ok
sample185,29.9,7.5,19-25,okok
sample186,24.6,7.7,22-29,ok
sample187,28.9,7.8,21-25,ok
sample188,25.5,3.6,4-9,no
sample189,24.5,2.5,7-10,ok
sample190,23.5,2.8,2-9,ok
sample191,34.5,8.9,3-9,ok
sample192,22.5,8.5,2-9,ok
sample193,22.6,9.2,5-8,ok
sample194,25.6,6.2,18-25,ok
sample195,28.6,5.5,5,ok
sample196,29.9,5.6,12-15,ok
sample197,24.6,5.7,15-25,ok
sample198,28.9,8.3,8-10,okok
sample199,25.5,7.2,11-20,ok
sample200,24.5,2.5,14-18,ok
sample201,23.5,4.8,19-25,no
sample202,34.5,7.3,22-29,ok
sample203,22.5,6.8,21-25,ok
sample204,22.6,7.6,4-9,ok
sample205,25.6,6.7,7-10,ok
sample206,28.6,6.7,2-9,ok
sample207,29.9,7.5,3-9,ok
sample208,24.6,7.7,2-9,ok
sample209,28.9,7.8,5-8,ok
sample210,25.5,3.6,18-25,ok
sample212,24.5,2.5,5,okok
sample213,23.5,2.8,12-15,ok
sample214,34.5,8.9,15-25,ok
sample215,22.5,8.5,8-10,no
sample216,22.6,9.2,11-20,ok
sample217,25.6,6.2,14-18,ok
sample218,28.6,5.5,19-25,ok
sample219,29.9,5.6,22-29,ok
sample220,24.6,5.7,21-25,ok
sample221,28.9,8.3,4-9,ok
sample222,25.5,7.2,7-10,ok
sample223,24.5,2.5,2-9,ok
sample224,23.5,4.8,3-9,ok
sample225,34.5,7.3,2-9,okok
sample226,22.5,6.8,5-8,ok
sample227,22.6,7.6,18-25,ok
sample228,25.6,6.7,5,no
sample229,28.6,6.7,12-15,ok
sample230,29.9,7.5,15-25,ok
sample231,24.6,7.7,8-10,ok
sample232,28.9,7.8,11-20,ok
sample233,25.5,3.6,14-18,ok
sample234,24.5,2.5,19-25,ok
sample235,23.5,2.8,22-29,ok
sample236,34.5,8.9,21-25,ok
sample237,22.5,8.5,4-9,ok
sample238,22.6,9.2,7-10,okok
sample239,25.6,6.2,2-9,ok
sample240,28.6,5.5,3-9,ok
sample241,29.9,5.6,2-9,no
sample242,24.6,5.7,5-8,ok
sample243,28.9,8.3,18-25,ok
sample244,25.5,7.2,5,ok
sample245,24.5,2.5,12-15,ok
sample246,23.5,4.8,15-25,ok
sample247,34.5,7.3,8-10,ok
sample248,22.5,6.8,11-20,ok
sample249,22.6,7.6,14-18,ok
sample250,25.6,6.7,19-25,ok
sample251,28.6,6.7,22-29,okok
sample252,29.9,7.5,21-25,ok
sample253,24.6,7.7,4-9,ok
sample254,28.9,7.8,7-10,no
sample255,25.5,3.6,2-9,ok
sample256,24.5,2.5,3-9,ok
sample257,23.5,2.8,2-9,ok
sample258,34.5,8.9,5-8,ok
sample259,22.5,8.5,18-25,ok
sample260,22.6,9.2,5,ok
sample261,25.6,6.2,12-15,ok
sample262,28.6,5.5,15-25,ok
sample263,29.9,5.6,8-10,ok
sample264,24.6,5.7,11-20,okok
sample265,28.9,8.3,14-18,ok
sample266,25.5,7.2,19-25,ok
sample267,24.5,2.5,22-29,no
sample268,23.5,4.8,21-25,ok
sample269,34.5,7.3,4-9,ok
sample270,22.5,6.8,7-10,ok
sample271,22.6,7.6,2-9,ok
sample272,25.6,6.7,3-9,ok
sample273,28.6,6.7,2-9,ok
sample274,29.9,7.5,5-8,ok
sample275,24.6,7.7,18-25,ok
sample276,28.9,7.8,5,ok
sample277,25.5,3.6,12-15,okok
sample278,24.5,2.5,15-25,ok
sample279,23.5,2.8,8-10,ok
sample280,34.5,8.9,11-20,no
sample281,22.5,8.5,14-18,ok
sample282,22.6,9.2,19-25,ok
sample283,25.6,6.2,22-29,ok
sample284,28.6,5.5,21-25,ok
sample285,29.9,5.6,4-9,ok
sample286,24.6,5.7,7-10,ok
sample287,28.9,8.3,2-9,ok
sample288,32.4,7.2,3-9,ok
sample289,35.7,2.5,2-9,ok
sample290,32.7,4.8,5-8,ok
sample291,38.9,7.3,18-25,ok
sample292,23.6,6.8,5,ok
sample293,29.0,7.6,12-15,ok
sample294,25.5,6.7,15-25,no
sample295,24.5,6.7,8-10,ok
sample296,23.5,7.5,11-20,ok
sample297,34.5,7.7,14-18,ok
sample298,22.5,7.8,19-25,ok
sample299,22.6,3.6,22-29,ok
sample300,25.6,2.5,21-25,ok
sample301,28.6,2.8,4-9,ok
sample302,29.9,8.9,7-10,ok
sample303,24.6,8.5,2-9,ok
sample304,28.9,9.2,3-9,okok
sample305,25.5,6.2,2-9,ok
sample306,24.5,5.5,5-8,ok
sample307,23.5,5.6,18-25,no
sample308,34.5,5.7,5,ok
sample309,22.5,8.3,12-15,ok
sample310,22.6,7.2,15-25,ok
sample311,25.6,2.5,8-10,ok
sample312,28.6,4.8,11-20,ok
sample313,29.9,7.3,14-18,ok
sample314,24.6,6.8,19-25,ok
sample315,28.9,7.6,22-29,ok
sample316,25.5,6.7,21-25,ok
sample317,24.5,6.7,4-9,okok
sample318,23.5,7.5,7-10,ok
sample319,34.5,7.7,2-9,ok
sample320,22.5,7.8,3-9,no
sample321,22.6,3.6,2-9,ok
sample322,25.6,2.5,5-8,ok
sample323,28.6,2.8,18-25,ok
sample324,29.9,8.9,5,ok
sample325,24.6,8.5,12-15,ok
sample326,28.9,9.2,15-25,ok
sample327,25.5,6.2,8-10,ok
sample328,24.5,5.5,11-20,ok
sample329,23.5,5.6,14-18,ok
sample330,34.5,5.7,19-25,okok
sample331,22.5,8.3,22-29,ok
sample332,22.6,7.2,21-25,ok
sample333,25.6,2.5,4-9,no
sample334,28.6,4.8,7-10,ok
sample335,29.9,7.3,2-9,ok
sample336,24.6,6.8,3-9,ok
sample337,28.9,7.6,2-9,ok
sample338,25.5,6.7,5-8,ok
sample339,24.5,6.7,18-25,ok
sample340,23.5,7.5,5,ok
sample341,34.5,7.7,12-15,ok
sample342,22.5,7.8,15-25,ok
sample343,22.6,3.6,8-10,okok
sample344,25.6,2.5,11-20,ok
sample345,28.6,2.8,14-18,ok
sample346,29.9,8.9,19-25,no
sample347,24.6,8.5,22-29,ok
sample348,28.9,9.2,21-25,ok
sample349,25.5,6.2,4-9,ok
sample350,24.5,5.5,7-10,ok
sample351,23.5,5.6,2-9,ok
sample352,34.5,5.7,3-9,ok
sample353,22.5,8.3,2-9,ok
sample354,22.6,7.2,5-8,ok
sample355,25.6,2.5,18-25,ok
sample356,28.6,4.8,5,okok
sample357,29.9,7.3,12-15,ok
sample358,24.6,6.8,15-25,ok
sample359,28.9,7.6,8-10,no
sample360,25.5,6.7,11-20,ok
sample361,24.5,6.7,14-18,ok
sample362,23.5,7.5,19-25,ok
sample363,34.5,7.7,22-29,ok
sample364,22.5,7.8,21-25,ok
sample365,22.6,3.6,4-9,ok
sample366,25.6,2.5,7-10,ok
sample367,28.6,2.8,2-9,ok
sample368,29.9,8.9,3-9,ok
sample369,24.6,8.5,2-9,okok
sample370,28.9,9.2,5-8,ok
sample371,34.9,6.2,18-25,ok
sample372,35.5,5.5,5,no
sample373,25.5,5.6,12-15,ok
sample374,24.5,5.7,15-25,ok
sample375,23.5,8.3,8-10,ok
sample376,34.5,7.2,11-20,ok
sample377,22.5,2.5,14-18,ok
sample378,22.6,4.8,19-25,ok
sample379,25.6,7.3,22-29,ok
sample380,28.6,6.8,21-25,ok
sample381,29.9,7.6,4-9,ok
sample382,24.6,6.7,7-10,okok
sample383,28.9,6.7,2-9,ok
sample384,25.5,7.5,3-9,ok
sample385,24.5,7.7,2-9,no
sample386,23.5,7.8,5-8,ok
sample387,34.5,3.6,18-25,ok
sample388,22.5,2.5,5,ok
sample389,22.6,2.8,12-15,ok
sample390,25.6,8.9,15-25,ok
sample391,28.6,8.5,8-10,ok
sample392,29.9,9.2,11-20,ok
sample393,24.6,6.2,14-18,ok
sample394,28.9,5.5,19-25,ok
sample395,25.5,5.6,22-29,okok
sample396,24.5,5.7,21-25,ok
sample397,23.5,8.3,4-9,ok
sample398,27.8,7.2,7-10,ok
sample399,29.9,2.5,2-9,ok
sample400,23.0,4.8,3-9,ok
